"!shopname hat die Forderung gegen Sie im Rahmen eines laufenden Factoringvertrages an die PayPal (Europe) S.??r.l. et Cie, S.C.A. abgetreten. Zahlungen mit schuldbefreiender Wirkung k??nnen nur an die PayPal (Europe) S.??r.l. et Cie, S.C.A. geleistet werden.","!shopname hat die Forderung gegen Sie im Rahmen eines laufenden Factoringvertrages an die PayPal (Europe) S.??r.l. et Cie, S.C.A. abgetreten. Zahlungen mit schuldbefreiender Wirkung k??nnen nur an die PayPal (Europe) S.??r.l. et Cie, S.C.A. geleistet werden."
"Address Check","Address Check"
"Adjust Qty","Adjust Quantity"
"Adjustment Discount","Adjustment Discount"
"Adjustment Fee","Adjustment Fee"
"After payment selection","After payment method selection"
"Ajax authorization not supported.","Ajax authorization not supported"
"Alias","Alias"
"Alias For Display","Alias For Display"
"All Customers","All Customers"
"Allowed Currencies","Allowed currencies"
"Allowed currencies for this payment method","Permitted currencies for this payment method"
"Already registered?","Already registered?"
"Always Checkout as Guest","Always Checkout as Guest"
"American Express","American Express"
"Amount","Amount"
"Amount Incl. Tax","Amount Incl. Tax"
"Amount due / currency","Amount due / currency"
"An error occured: PayPalPlusCw response is: ""!data""","An error occurred: PayPalPlusCw response is: '!data'"
"Approval URL missing in registration response.","Approval URL missing in registration response."
"Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Author","Author"
"Authorization Amount","Authorisation Amount"
"Authorization Failed","Authorisation failed"
"Authorization Method","Authorisation Method"
"Authorization is uncertain.","Authorisation is uncertain"
"Authorized Status","Authorised status"
"Await Notification","Await Notification"
"Awaiting confirmation","Awaiting confirmation"
"BIC","BIC"
"Bad signature format.","False signature format."
"Bank Location","Bank Location"
"Bank Name","Bank Name"
"Bank account number","Bank account number (IBAN)"
"Bank code number","Bank code number"
"Before payment selection","Before selection of the payment method"
"Billing Address","Billing Address"
"Billing Information","Billing information"
"Billing address","Billing address"
"Brand Name","Brand Name"
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","With the capture setting, the transaction can be captured directly after the order or later manually over the backend of the store."
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store. The difference between 'order' and 'authorization' is that on 'order' only a check is done, but not really a reservation on the card.","With this option you can specify if you wish the payment to be captured directly after the order or at a later point manually in the back-end of your shop. The difference between 'order' and 'authorisation' is that in the case of 'order' only a check is carried out but no reservation is made on the card."
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store. The difference between 'order' and 'authorization' is that on 'order' only checks the payment information and does not create a reservation.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store. The difference between 'order' and 'authorization' is that on 'order' only checks the payment information and does not create a reservation."
"CVC Code","CVC Code"
"Can not redirect customer, approval URL missing in registration response.","Can not redirect customer, approval URL missing in registration response."
"Can not update transaction, authorizeId not set","Can not update transaction, authorizeId not set"
"Can not update transaction, saleId not set","Can not update transaction, saleId not set"
"Cancel","Cancel"
"Cancel ID","Cancel ID"
"Cancel failed with unkown error.","Cancel failed with unkown error."
"Cancel pending orders when out of stock","Cancel pending orders when out of stock"
"Cancel status","Cancel status"
"Canceled PayPalPlusCw","Canceled PayPalPlusCw"
"Canceling of this payment not possible!","Cancellation of this payment not possible!"
"Cancelled Status","Cancelled status"
"Cannot update item quantity.","Cannot update item quantity."
"Capture Amount","Amount to capture"
"Capture ID","Capture ID"
"Capture amount","Capture amount"
"Capture failed with unkown error.","Capture failed with unkown error."
"Capture information","Capture information"
"Capture status","Capture status"
"Capture: Don't Close","Capture: Don't close"
"Captured Amount","Captured amount"
"Captured Status","Captured status"
"Captures","Captures"
"Captures & Refunds","Captures & Refunds"
"Capturing","Capturing"
"Card Expiration","Expiry Date"
"Card Holder Name","Card holder name"
"Card Number","Card number"
"Carrier Title","Carrier Title"
"Check out faster","Check out faster"
"Check to activate the external checkout.","Check to activate the external checkout."
"Checkout","Checkout"
"Checkout API","Checkout API"
"Checkout as Guest","Checkout as a guest"
"Checkout as a Guest or Register","Checkout as a guest or register"
"Checkout as a new customer","Checkout as a new customer"
"Checkout using your account","Checkout using your account"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your order. The status of the invoice will be set according to your specified capture status."
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Choose settlement after order in case you want an invoice to be created with your order. The status of the invoice will be set according to your specified capture status. For captured payments, an invoice is always created."
"City entered","City entered"
"Company Commercial Number","Company Commercial Number"
"Confirm Password","Confirm Password"
"Connection error.","Connection error."
"Continue","Continue"
"Could not convert object of type '!type' to string.","Could not convert object of type '!type' to string."
"Could not create URI to cancel the transaction","Could not create URI to cancel the transaction"
"Could not create URI to capture the transaction","Could not create URI to capture the transaction"
"Could not create URI to refund the transaction","Could not create URI to refund the transaction"
"Could not delete experience profile.","Could not delete experience profile."
"Could not find a brand for the given card number.","Could not find a brand for the given card number."
"Could not find pressed button.","Could not find pressed button."
"Could not find template file at default location '!location'.","Could not find template file at default location '!location'."
"Could not find the payment method !paymentMethodName.","Could not find the payment method !paymentMethodName."
"Could not load layout from URL !url. Reason: !reason","Could not load layout from URL !url. Reason: !reason"
"Could not register experience profile.","Could not register experience profile."
"Could not update experience profile.","Could not update experience profile."
"Could not update payment information","Could not update payment information"
"Country entered","Country entered"
"Create","Create"
"Create Account","Create Account"
"Create New Order - Payment","Create New Order - Payment"
"Create a recurring payment, with an existing alias is not supported","Creating a recurring payment with an existing alias is not supported."
"Creating an account has many benefits:","Creating an account has many benefits:"
"Creation Date","Creation Date"
"Credit Card Brands","Credit Card Brands"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Credit memo's total must be positive.","Credit memo's total must be positive."
"Currency","Currency"
"Current Configuration Scope:","Current Configuration Scope:"
"Customer Account","Customer account"
"Customer Alias Management","Customer Alias Management"
"Customer successfully returned from PayPalPlusCw","Customer successfully returned from PayPalPlusCw"
"Customer successfully returned from PayPal Plus","Customer successfully returned from the PayPalPlusCw payment page."
"Customer sucessfully returned from the PayPalPlusCw payment page.","Customer successfully returned from the PayPalPlusCw payment page."
"Customers","Customers"
"Customweb","Customweb"
"Data Encoding","Data Encoding"
"Date","Date"
"Date of Birth","Date of birth"
"Day","Day"
"Deactivate","Deactivate"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Dear customer we have received your billing and shipping information. In order to finalize your order please create an account below or checkout as a guest."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email."
"Default Config","Default Configuration"
"Deferred (authorization)","Deferred (authorisation)"
"Deferred capturing","Deferred capturing"
"Deferred settlement","Deferred settlement"
"Define a maximal order total for this checkout to be available.","Define a maximal order total for this checkout to be available."
"Define a minimal order total for this checkout to be available.","Define a minimal order total for this checkout to be available."
"Define here the API password of your live account. You find it at the same location as the username.","Here you must enter the API Password of your live account. You'll find it at the same place where the user name is located."
"Define here the API signature of your live account. You find it at the same location as the username.","Enter the API Signature. You find it at the same location as the username."
"Define here the API username of your live account. You can find it in your PayPal account under My Account > Profile > My Selling Tools > API access. There you can update the credentials and you can find also the API username, the API password and the API signature.","Here you must enter the API User Name of your live account. You can find it in your PayPal account under My Account > Profile > My Selling Tools > API Access. There you can update the credentials and can also find the API Password and the API Signature."
"Define here your API password of the sandbox account. You can find it where you find also the e-mail address of your sandbox.","Here you must enter the API password of your Sandbox account. You can find it at the same place where you find the e-mail address of your Sandbox account."
"Define here your API signature of the sandbox account. You can find it where you find also the e-mail address of your sandbox.","Here you must enter the API signature of your Sandbox account. You can find it at the same place where you find the e-mail address of your Sandbox account."
"Define here your API username of the sandbox account. You can find it where you find also the e-mail address of your sandbox.","Here you must enter the API user name of your Sandbox account. You can find it at the same place where you find the e-mail address of your Sandbox account."
"Define here your Rest API client ID of your live account. You can find it where you find also the e-mail address of your sandbox.","Define here your Rest API client ID of your live account. You can find it where you find also the e-mail address of your sandbox."
"Define here your Rest API client ID of your sandbox account. Login under 'https://developer.paypal.com/' with your live account and create a new app for an your sandbox merchant account.","Define here your Rest API client ID of your sandbox account. Login under 'https://developer.paypal.com/' with your live account and create a new app for an your sandbox merchant account."
"Define here your Rest API client secret of your live account. You can find it where you find also the e-mail address of your sandbox.","Define here your Rest API client secret of your live account. You can find it where you find also the e-mail address of your sandbox."
"Define here your Rest API client secret of your sandbox account. Login under 'https://developer.paypal.com/' with your live account and create a new app for an your sandbox merchant account.","Define here your Rest API client secret of your sandbox account. Login under 'https://developer.paypal.com/' with your live account and create a new app for an your sandbox merchant account."
"Define here your sandbox business e-mail address. You can find the sandbox e-mail under Applications > Sandbox Accounts.","Here you must enter your Sandbox business e-mail address. You can find it under Applications > Sandbox Accounts. There you can also find your Sandbox API User Name, API Password and API Signature."
"Delayed","Deferred"
"Delete","Delete"
"Delivery address","Delivery address"
"Deregister","Deregister"
"Description","Description"
"Description of the order","Order Description"
"Diners Club","Diners Club"
"Direct Debits","Direct Debits (ELV)"
"Direct E-Banking","Direct E-Banking"
"Direct capture after order","Direct capturing"
"Directly after order (sale)","Direct capturing"
"Disabled","Deactivated"
"Discount","Discount"
"Discount Amount","Discount Amount"
"Do not mark transaction as uncertain.","Do not mark transaction as uncertain."
"Do only check the payment information (order)","Only check the payment information (order)"
"Don't change order status","Don't change order status"
"During authorization","During the authorisation"
"Edit","Edit"
"Edit Invoice %s","Edit Invoice %s"
"Eligible","Eligible"
"Email Address","Email Address"
"Empty version number field name","Empty version number field name"
"Enable or disable logging.","Enable or disable logging."
"Enable the payment method","Enable this payment method"
"Enabled","Enabled"
"Enter the Sandbox and Live Email Adress.","Enter the Sandbox and Live Email Adress."
"Enter the date on which your card expires.","Enter the card expiry date."
"Error Message:","Error Message:"
"Error retrieving acces token","Error retrieving acces token"
"Error retrieving the checkout details.","Error retrieving the checkout details."
"Error updating the payment details for unkown reason.","Error updating the payment details for unkown reason."
"Error updating the payment details, registration id is missing.","Error updating the payment details, registration id is missing."
"Error updating the payment details.","Error updating the payment details."
"Error updating transaction: !error","Error updating transaction: !error"
"Error with the length of the validation date.","Error with the length of the validation date."
"Excl. Tax","Excl. Tax"
"Experience Profile","Experience Profile"
"Express Checkout","Express Checkout"
"External Checkout","External Checkout"
"External Checkout: Guest Checkout","External Checkout: Guest Checkout"
"Failed","Failed"
"Failed payment authorization.","The authorization failed."
"Figure !number:","Figure !number:"
"Forgot Your Password?","Forgot Your Password?"
"Forgot your password?","Forgot your password?"
"Get Update","Get Update"
"HTTP error during the execution of the transaction.","HTTP error during the execution of the transaction."
"HTTP error during the registration of the payment wall.","HTTP error during the registration of the payment wall."
"HTTP error during the registration of the transaction.","HTTP error during the registration of the transaction."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to PayPal Plus. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to PayPal. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to PayPal Plus. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Here you can specifiy the order description. The order description is shown on the PayPal Plus payment page. The order description can contain the tag {id}. It will then be replaced by the order number (e.g. name {id}).","Here you can specifiy the order description. The order description is shown on the PayPal Plus payment page. The order description can contain the tag {id}. It will then be replaced by the order number (e.g. name {id})."
"Hide","Hide"
"IBAN","IBAN"
"IBAN number","Bank account number (IBAN)"
"ISO-8859-1","ISO-8859-1"
"ISO-8859-13","ISO-8859-13"
"ISO-8859-15","ISO-8859-15"
"ISO-8859-2","ISO-8859-2"
"ISO-8859-3","ISO-8859-3"
"ISO-8859-4","ISO-8859-4"
"ISO-8859-5","ISO-8859-5"
"ISO-8859-6","ISO-8859-6"
"ISO-8859-7","ISO-8859-7"
"ISO-8859-8","ISO-8859-8"
"ISO-8859-9","ISO-8859-9"
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, the item will be reserved until the payment is cancelled (see timeout option below). Activate this option if you do NOT wish to reserve the item in case of an aborted or failed payment. The order will then be cancelled immediately."
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order already being canceled."
"If it is not applicable leave the field empty.","If it is not applicable leave the field empty."
"If the sandbox mode is used, then the sandbox credentials are used. Login under 'https://developer.paypal.com/' with your live account and create a sandbox merchant account to use in sandbox mode.","If the sandbox mode is used, then the sandbox credentials are used. Login under 'https://developer.paypal.com/' with your live account and create a sandbox merchant account to use in sandbox mode."
"If the sandbox mode is used, then the sandbox credentials are used. You can sign up for a sandbox account under 'https://developer.paypal.com/'.","If the sandbox mode is activated, then the sandbox credentials are used. You can sign up for a sandbox account under 'https://developer.paypal.com/'."
"If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully."
"If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","If the status is 'Pending' it is unclear whether the transaction will be captured successfully."
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","If the status is 'Pending' it is unclear whether the transaction will be refunded successfully."
"If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information."
"If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures."
"If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","If you would like to use recurring payments, you need our Magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Image Brand Selection","Image Brand Selection"
"In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited."
"In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is on hold until the transaction reaches the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation."
"Inactive","Inactive"
"Incl. Tax","Incl. Tax"
"Incomplete Address Check Response","Incomplete Address Check Response"
"Ineligible","Ineligible"
"Information","Information"
"Invalid login or password.","Invalid login or password."
"Invalid response received.","Invalid response received."
"Invoice Items","Invoice Items"
"Invoice Settlement","Invoice Settlement"
"Invoice Totals","Invoice Totals"
"Invoice settlement","Invoice settlement"
"Invoice was created successfully","Invoice was successfully created"
"Invoices","Invoices"
"Issue Number","Issue Number"
"It is not possible to checkout in your country.","It is not possible to checkout in your country."
"Item","Item"
"Item not received eligible.","Item not received eligible."
"Items","Items"
"Items Refunded","Items Refunded"
"JCB","JCB"
"Live API Password","Live API Password"
"Live API Signature","Live API Signature"
"Live API Username","Live API Username"
"Live Business E-mail Address","Live Business E-mail Address"
"Live HMAC Key","Live HMAC Key"
"Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Live Mode","Live Mode"
"Live Password","Live Password"
"Live REST API Client ID","Live REST API Client ID"
"Live REST API Client Secret","Live REST API Client Secret"
"Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Logging","Logging"
"Login","Login"
"Login & Register","Login & Register"
"Login and password are required.","Login and password are required."
"Logo Url","Logo Url"
"Mail order/telephone order authorization","Mail order/telephone order authorization"
"Manage Stores","Manage Stores"
"Manage PayPal Plus Aliases","Manage PayPal Plus Aliases"
"Mark transaction without seller protection as uncertain.","Mark transactions without seller protection as uncertain."
"MasterCard","MasterCard"
"Maximum Order Total","Maximal order total"
"Message","Message"
"Method Title","Method Title"
"Minimum Order Total","Minimum order total"
"Modifications to the shipping address are not allowed.","Modifications to the shipping address are not allowed."
"Month","Month"
"My PayPal Plus Aliases","My PayPal Plus Aliases"
"Name entered","Name entered"
"Name of the web experience profile. Unique only among the profiles for this merchant.","Name of the web experience profile. Unique only among the profiles for this merchant."
"New Order","New Ordern"
"New Order Status","New order status"
"New card","New card"
"Next Update Execution Date","Next Update Execution Date"
"No","No"
"No Items","No Items"
"No PayerId or paymentId returned","No PayerId or paymentId returned"
"No Profile registered","No Profile registered"
"No additional payment information available.","No additional payment information available"
"No authorization method found for payment method !method.","No authorization method found for payment method !method."
"No button returned.","No button returned."
"No refund possible.","No refund possible"
"No shipping method needed.","No shipping method needed."
"No, use the dropdown.","No, use the dropdown menu."
"Not supported intent. Please contact the merchant for more information about your payment","Not supported intent. Please contact the merchant for more information about your payment"
"Only an authorized transaction can be marked as finally declined.","Only authorized transactions can be marked as finally declined."
"Only an uncertain transaction can be marked as finally declined.","Only uncertain transactions can be marked as finally declined."
"Only authorized transaction can be cancelled.","Only authorised transaction can be cancelled."
"Only authorized transaction can be captured.","Only authorised transactions can be captured."
"Only authorized transaction can be refunded.","Only authorised transaction can be refunded."
"Only captured transaction can be refunded.","Only captured transaction can be refunded."
"Only on captured transaction the flag customer refusing to pay can be set.","It is only possible to set a flag for customers refusing to pay on captured transactions."
"Operation Mode","Operation mode"
"Order #","Order Number"
"Order Description","Order Description"
"Order Grand Total","Order Grand Total"
"Order Information","Order Information"
"Order Prefix","Order Prefix"
"Order Review","Order Review"
"Order Summary","Order Summary"
"Order Total","Order total"
"Order cancelled, because the customer was too long in the payment process of PayPal Plus.","Order cancelled because the customer was in the payment process of PayPal Plus for too long."
"Order prefix","Order prefix"
"Order was placed using %s","Order was placed using %s"
"Orders","Orders"
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Orders, with payments that have been pending for longer than the specified time-out in minutes, are cancelled automatically. To use this feature you have to setup the Magento cron."
"Paid Amount","Paid Amount"
"Partial","Partial"
"Partial refund not possible. You may retry with the total transaction amount.","Partial refund not possible. The sum is larger than the total captured amount."
"Password","Password"
"Password and password confirmation are not equal.","""Password"" and ""Password Confirmation"" don't match."
"Pay with ____paymentMethodName____","Pay with ____paymentMethodName____"
"PayPal Refund.","PayPal Refund."
"PayPal allows to set the encoding under Profile > My Selling Tools > PayPal button language encoding > More Options. You should set always the both encoding to the same encoding and select here the corresponding encoding. The default encoding for PayPal is 'Windows-1252'.","PayPal allows to set the encoding under Profile > My Selling Tools > PayPal button language encoding > More Options. You should always set both to the same encoding and select here the corresponding encoding. The default encoding for PayPal is 'Windows-1252'."
"PayerId","PayerId"
"Payment","Payment"
"Payment ID","Payment ID"
"Payment Id","Payment ID"
"Payment Information","Payment Information"
"Payment Method","Payment Method"
"Payment Mode","Payment Mode"
"Payment captured successfully.","Payment captured successfully"
"Payment could not be authorized. Cancelling order. Reason : ","Payment could not be authorised. Order is being cancelled for the reason:"
"Payment details can be entered after placing the order","Payment details can be entered after placing the order"
"Payment due date","Payment due date"
"Payment from Applicable Countries","Payment from applicable countries"
"Payment from Specific Countries","Payment from specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Payment from specific countries","Payment from specific countries"
"Payment is pending at PayPalPlusCw","Payment is pending with PayPalPlusCw"
"Payment method description","Payment method description"
"Payment wall creation failed with an unkown reason.","Payment wall creation failed with an unkown reason."
"Payment was not successful.","The payment was not successful."
"Payment with %s","Payment with %s"
"Payment with PayPal Plus","Payment with PayPal Plus"
"Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","The state of the payment will be be updated periodically (interval in minutes) via API if activated. To use this feature you have to setup Magento cron."
"Pending","Pending"
"Pending PayPalPlusCw","Pending PayPalPlusCw"
"Place Order","Place Order"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Please check the entered CVC number.","Please check the entered CVC number."
"Please check the entered credit card number.","Please check the entered credit card number."
"Please click the create button, to register the webhook.","Please click the create button, to register the webhook."
"Please enter here the Bank Identifier Code (BIC).","Please enter here the Bank Identifier Code (BIC)."
"Please enter here the CVC code from your card. You find the code on the back of the card.","Please enter the CVC code from your card. You can find the code on the back of the card."
"Please enter here the International Bank Account Number (IBAN).","Please enter here the International Bank Account Number (IBAN)."
"Please enter here the account holder name on the card.","Please enter here the account holder name on the card."
"Please enter here the account holder name.","Please enter here the account holder name."
"Please enter here the account number of your bank account.","Please enter here the International Bank Account Number (IBAN)."
"Please enter here the bank code of your bank.","Please enter here the bank code of your bank"
"Please enter here the card holder name on the card.","Please enter the card holder's name."
"Please enter here the commercial number of your company.","Please enter the commercial number of your company."
"Please enter here the name of the account owner.","Please enter the name of the account owner"
"Please enter here the number on your card.","Please enter your card number."
"Please enter here the sales tax number of your company.","Please enter here the sales tax number of your company."
"Please enter here your social security number.","Please enter your social security number."
"Please enter the location of your bank.","Please enter the location of your bank."
"Please enter the name of your bank.","Please enter the name of your bank."
"Please enter your IBAN number.","Please enter your IBAN number."
"Please enter your issue number, if there is no CVC code on your card.","Please enter your issue number, if there is no CVC code on your card."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Please empty or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support"
"Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Please log in below:","Please log in below:"
"Please select","Please select"
"Please select a shipping method before sending the order.","Please select a shipping method before sending the order."
"Please select the Bank Identifier Code (BIC) of your bank.","Please select the Bank Identifier Code (BIC) of your bank."
"Please select the day of your birth.","Please select the day of your birth."
"Please select the expiry month on your card.","You have to enter the month of the card expiry"
"Please select the expiry year on your card.","Please select your card's year of expiry."
"Please select the month of your birth.","Please select the month of your birth."
"Please select the the year of your birth.","Please select the the year of your birth."
"Please specify the payment method.","Please specify the payment method."
"Please wait, processing your order...","Please wait, processing your order..."
"Please wire the amount of <b>!amount !currency</b> to:<br />","Please wire the amount of <b>!amount !currency</b> to:<br />"
"Possible fraud detected. Currency was invalid.","Possible fraud detected. Currency not supported."
"Possible fraud detected. Parameters send from PayPal Plus were not correct.","Possible fraud detected. Parameters sent from PayPal Plus were not correct."
"Possible fraud detected. Receiver id was invalid.","Possible fraud detected. The Receiver ID was invalid."
"Possible fraud detected. Total amount was invalid.","Possible fraud detected. Total amount was invalid."
"Possible fraud detected. Total currency was invalid.","Possible fraud detected. Total currency was invalid."
"Postal Code entered","Postal Code entered"
"Price","Price"
"Product","Product"
"Product Name","Product name"
"Profile Id","Profile Id"
"Profile Name","Profile Name"
"Purchase Point","Point of Purchase"
"Qty","Qty"
"Received malformatted response from PayPal Plus","Received malformatted response from PayPal Plus"
"Received malformatted response from PayPal Plus during execution","Received malformatted response from PayPal Plus during execution"
"Received malformatted response from PayPal Plus during registration","Received malformatted response from PayPal Plus during registration"
"Recurring Payments","Recurring Payments"
"Recurring payment","Recurring payment"
"Reference","Reference"
"Refund Amount","Refunded amount"
"Refund ID","Refund ID"
"Refund amount","Refunded amount"
"Refund failed with unkown error.","Refund failed with unkown error."
"Refund failed. Error message is: !message.","Refund failed. Error message is: !message."
"Refund information","Refund information"
"Refund status","Refund status"
"Refunded Amount","Refunded amount"
"Refunds","Credit Memo"
"Register","Register"
"Register to Create an Account","Register to create an account"
"Register with us for future convenience:","Register with us for future convenience:"
"Release Date","Release Date"
"Review","Review"
"Rounding Adjustment","Rounding Adjustments"
"Rounding Adjustments","Rounding Adjustments"
"Routing Number","Routing Number"
