"!shopname hat die Forderung gegen Sie im Rahmen eines laufenden Factoringvertrages an die PayPal (Europe) S.??r.l. et Cie, S.C.A. abgetreten. Zahlungen mit schuldbefreiender Wirkung k??nnen nur an die PayPal (Europe) S.??r.l. et Cie, S.C.A. geleistet werden.","!shopname hat die Forderung gegen Sie im Rahmen eines laufenden Factoringvertrages an die PayPal (Europe) S.??r.l. et Cie, S.C.A. abgetreten. Zahlungen mit schuldbefreiender Wirkung k??nnen nur an die PayPal (Europe) S.??r.l. et Cie, S.C.A. geleistet werden."
"* Required Fields","* campo obbligatorio"
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to PayPal. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Qui è possibile inserire un prefisso ordine. Il prefisso consente di cambiare il numero d'ordine che viene trasmesso a PayPal. Il prefisso deve contenere il tag {id}. Il tag sarà poi sostituito dal numero d'ordine (ad es name_ {id})."
"Here you can specifiy the order description. The order description is shown on the PayPal Plus payment page. The order description can contain the tag {id}. It will then be replaced by the order number (e.g. name {id}).","Here you can specifiy the order description. The order description is shown on the PayPal Plus payment page. The order description can contain the tag {id}. It will then be replaced by the order number (e.g. name {id})."
"Hide","Nascondi"
"IBAN","IBAN"
"IBAN number","Numero IBAN"
"ISO-8859-1","ISO-8859-1"
"ISO-8859-13","ISO-8859-13"
"ISO-8859-15","ISO-8859-15"
"ISO-8859-2","ISO-8859-2"
"ISO-8859-3","ISO-8859-3"
"ISO-8859-4","ISO-8859-4"
"ISO-8859-5","ISO-8859-5"
"ISO-8859-6","ISO-8859-6"
"ISO-8859-7","ISO-8859-7"
"ISO-8859-8","ISO-8859-8"
"ISO-8859-9","ISO-8859-9"
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Se é rimasto un solo pezzo in magazzino e il pagamento del cliente che vuole comprare questo prodotto fallisce, il prodotto sarà riservato fino a quando l'ordine é cancellato (vedere l'opzione Timeout). Attivare questa opzione se si desidera che il prodotto NON sia riservato e che l'ordine con un pagamento non riuscito sia immediatamente annullato."
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","Se un prodotto è disponibile solo una volta e il pagamento dell'ordine cliente il prodotto non riesce o viene interrotta, non sarà disponibile fino a quando l'ordine viene annullato (guarda l'opzione di timeout di seguito). Attiva questa impostazione per annullare gli ordini in attesa del cliente quando torna alla pagina del carrello e di un prodotto non è più disponibile. Attenzione, però: se si attiva questa opzione, c'è una possibilità che i pagamenti vengano effettuati con l'ordine corrispondente che é già stato annullato."
"If it is not applicable leave the field empty.","Se non é possibile lasciare il campo vuoto."
"If the sandbox mode is used, then the sandbox credentials are used. Login under 'https://developer.paypal.com/' with your live account and create a sandbox merchant account to use in sandbox mode.","If the sandbox mode is used, then the sandbox credentials are used. Login under 'https://developer.paypal.com/' with your live account and create a sandbox merchant account to use in sandbox mode."
"If the sandbox mode is used, then the sandbox credentials are used. You can sign up for a sandbox account under 'https://developer.paypal.com/'.","Se viene attivata la modalità sandbox, vengono utilizzate le credenziali sandbox. È possibile registrarsi per un account sandbox sotto 'https://developer.paypal.com/'."
"If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Se lo stato é 'in sospeso' non é chiaro se la transazione verrà annullata correttamente."
"If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Se lo stato é 'In sospeso' non é chiaro se la transazione sarà registrata con successo."
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Se lo stato é 'In sospeso' non é chiaro se la transazione sarà rimborsata con successo."
"If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Se hai problemi con il modulo non esitare a contattarci. Controlla anche <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> per ulteriori informazioni."
"If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","Se selezioni questa opzione, il pagamento sarà registrato al PSP e non puoi aggiungere ulteriori registrazioni."
"If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Se si desidera utilizzare pagamenti ricorrenti, è necessario il modulo di Magento ""abbonamento CustomWeb "". Per ulteriori informazioni visitare <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Image Brand Selection","Image Brand Selection"
"In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In alcuni casi possono volerci alcuni secondi prima che la transazione sia autorizzata con successo. Quando l'opzione é attivata, la notifica arriva dopo qualche secondo."
"In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In alcuni casi l'operazione richiede alcuni secondi prima di essere autorizzata. Quando questa opzione è abilitata l'utente è trattenuto fino a quando la transazione non é andato a buon fine. Se questo non è il caso in 30 secondi viene visualizzato un messaggio al cliente che spiega la situazione."
"Inactive","Inactive"
"Incl. Tax","Incl. tasse"
"Incomplete Address Check Response","Incomplete Address Check Response"
"Ineligible","Ineligible"
"Information","Informazione"
"Invalid login or password.","Login o password non validi."
"Invalid response received.","Invalid response received."
"Invoice Items","Articoli fattura"
"Invoice Settlement","Pagamento della fattura"
"Invoice Totals","Totali della fattura"
"Invoice settlement","Creazione della fattura"
"Invoice was created successfully","La fattura é stato creata con successo."
"Invoices","Fatture"
"Issue Number","Numero Issue"
"It is not possible to checkout in your country.","Non é possibile effettuare il checkout nel tuo paese."
"Item","Articolo"
"Item not received eligible.","Item not received eligible."
"Items","Articoli"
"Items Refunded","Articoli rimborsati"
"JCB","JCB"
"Live API Password","Live API Password"
"Live API Signature","Live API firma"
"Live API Username","Live API nome utente"
"Live Business E-mail Address","Live Business Indirizzo e-mail"
"Live HMAC Key","Live HMAC Key"
"Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Live Mode","Modalità live"
"Live Password","Live Password"
"Live REST API Client ID","Live REST API Client ID"
"Live REST API Client Secret","Live REST API Client Secret"
"Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Logging","Logging"
"Login","Login"
"Login & Register","Login & Registrati"
"Login and password are required.","Login e password richiesti."
"Logo Url","Logo Url"
"Mail order/telephone order authorization","Autorizzazione degli ordini via eMail/telefono"
"Manage Stores","Gestire negozi"
"Manage PayPal Plus Aliases","Gestisci gli alias PayPal Plus"
"Mark transaction without seller protection as uncertain.","Operazioni marchio senza Seller Protection come incerto."
"MasterCard","MasterCard"
"Maximum Order Total","Totale massimo dell'ordine"
"Message","Notifica"
"Method Title","Titolo del metodo"
"Minimum Order Total","Minimo per il totale dell'ordine"
"Modifications to the shipping address are not allowed.","Modifications to the shipping address are not allowed."
"Month","Mese"
"My PayPal Plus Aliases","I miei Alias PayPal Plus"
"Name entered","Name entered"
"Name of the web experience profile. Unique only among the profiles for this merchant.","Name of the web experience profile. Unique only among the profiles for this merchant."
"New Order","Nuovo ordine"
"New Order Status","Nuovo stato dell'ordine"
"New card","Nuova carta"
"Next Update Execution Date","Data del prossimo aggiornamento"
"No","No"
"No Items","Nessun articolo"
"No PayerId or paymentId returned","No PayerId or paymentId returned"
"No Profile registered","No Profile registered"
"No additional payment information available.","Nessuna informazione di pagamento supplementare."
"No authorization method found for payment method !method.","Nessun metodo di autorizzazione trovato per il pagamento !method."
"No button returned.","Nessun tasto fornito."
"No refund possible.","Nessun rimborso possibile"
"No shipping method needed.","Nessun metodo di spedizione necessario."
"No, use the dropdown.","No, use the dropdown."
"Not supported intent. Please contact the merchant for more information about your payment","Not supported intent. Please contact the merchant for more information about your payment"
"Only an authorized transaction can be marked as finally declined.","Solo una transazione autorizzata può essere contrassegnata come Rifiutata."
"Only an uncertain transaction can be marked as finally declined.","Solo una transazione incerta può essere contrassegnata  Rifiutata."
"Only authorized transaction can be cancelled.","Solo le transazioni autorizzate possono essere cancellate."
"Only authorized transaction can be captured.","Solo le transazioni autorizzate possono essere registrate."
"Only authorized transaction can be refunded.","Solo transazioni autorizzate possono essere rimborsate."
"Only captured transaction can be refunded.","Solo le transazioni registrate possono essere rimborsate."
"Only on captured transaction the flag customer refusing to pay can be set.","E ' possibile impostare un flag per i clienti che non hanno pagato solo sulle transazioni registrate."
"Operation Mode","Modalità di funzionamento"
"Order #","Numero d'ordine"
"Order Description","Order Description"
"Order Grand Total","Totale complessivo dell'ordine"
"Order Information","Informazioni sull'ordine"
"Order Prefix","Prefix ordine"
"Order Review","Controllo ordine"
"Order Summary","Riassunto dell'ordine"
"Order Total","Totale dell'ordine"
"Order cancelled, because the customer was too long in the payment process of PayPal Plus.","L'ordine é stato annullato perché il cliente é rimasto troppo a lungo nel processo di pagamento di PayPal Plus."
"Order prefix","Order prefix"
"Order was placed using %s","L'ordine é stato effettuato usando %s"
"Orders","Ordini"
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Gli ordini il cui pagamento é in sospeso da più tempo del timeout definito in minuti saranno annullati automaticamente. Per utilizzare questa funzione devi impostare Magento cron."
"Paid Amount","Importo pagato"
"Partial","Partial"
"Partial refund not possible. You may retry with the total transaction amount.","Rimborso parziale non possibile. Riprovare con l'importo totale della transazione."
"Password","Password"
"Password and password confirmation are not equal.","La password e la conferma della password non corrispondono."
"Pay with ____paymentMethodName____","Paga con ____paymentMethodName____"
"PayPal Refund.","PayPal rimborso"
"PayPal allows to set the encoding under Profile > My Selling Tools > PayPal button language encoding > More Options. You should set always the both encoding to the same encoding and select here the corresponding encoding. The default encoding for PayPal is 'Windows-1252'.","PayPal consente di impostare la codifica in Profile > My Selling Tools > PayPal button language encoding > More Options. Si dovrebbe sempre impostare sia la stessa codifica e selezionare qui la codifica corrispondente. La codifica predefinita per PayPal è 'Windows-1252'."
"PayerId","PayerId"
"Payment","Pagamento"
"Payment ID","Payment ID"
"Payment Id","ID pagamento"
"Payment Information","Informazioni sul pagamento"
"Payment Method","Metodo di pagamento"
"Payment Mode","Payment Mode"
"Payment captured successfully.","Pagamento salvato con successo."
"Payment could not be authorized. Cancelling order. Reason : ","Il pagamento non potesse essere autorizzato. L'ordine sarà annullato. Motivo:"
"Payment details can be entered after placing the order","I dettagli di pagamento possono essere inseriti dopo avere effettuato l'ordinato."
"Payment due date","Payment due date"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment from applicable countries","Pagamento da paesi applicabili"
"Payment from specific countries","Pagamento da paesi specifici"
"Payment is pending at PayPalPlusCw","Pagamento in sospeso in PayPalPlusCw."
"Payment method description","Descrizione di metodo di pagamento"
"Payment wall creation failed with an unkown reason.","Payment wall creation failed with an unkown reason."
"Payment was not successful.","Il pagamento non è riuscito."
"Payment with %s","Pagamento con %s"
"Payment with PayPal Plus","Pagamenti con ____ paymentServiceProviderName____"
"Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","I pagamenti possono essere aggiornati automaticamente (intervallo in minuti) via API (se attivato). Per utilizzare questa funzione, il Magento Cron deve essere abilitato."
"Pending","In sospeso"
"Pending PayPalPlusCw","PayPalPlusCw in attesa"
"Place Order","Fare un ordine"
"Please agree to all the terms and conditions before placing the order.","Accetta i termine e le condizioni prima di fare un ordine."
"Please check the entered CVC number.","Si prega di controllare il numero CVC inserito."
"Please check the entered credit card number.","Si prega di controllare il numero di carta di credito inserito."
"Please click the create button, to register the webhook.","Please click the create button, to register the webhook."
"Please enter here the Bank Identifier Code (BIC).","Inserisci qui il codice di identificazione bancario (BIC)."
"Please enter here the CVC code from your card. You find the code on the back of the card.","Inserisci qui il codice CVC che si trova sul retro della tua carta."
"Please enter here the International Bank Account Number (IBAN).","Si prega di inserire l'IBAN (numero di conto bancario internazionale)."
"Please enter here the account holder name on the card.","Si prega di inserire qui il nome del titolare del conto sulla carta."
"Please enter here the account holder name.","Si prega di inserire qui il nome del titolare del conto."
"Please enter here the account number of your bank account.","Si prega di inserire l'IBAN (numero di conto bancario internazionale)."
"Please enter here the bank code of your bank.","Si prega di inserire il codice banca ."
"Please enter here the card holder name on the card.","Inserire qui il nome del titolare della carta."
"Please enter here the commercial number of your company.","Si prega di inserire il numero di iscrizione nel registro delle imprese."
"Please enter here the name of the account owner.","Si prega di inserire il nome del titolare del conto."
"Please enter here the number on your card.","Si prega di inserire il numero di carta di carta di credito."
"Please enter here the sales tax number of your company.","Inserisci qui la partita IVA della tua azienda."
"Please enter here your social security number.","Si prega di inserire il numero di sicurezza sociale."
