"!shopname hat die Forderung gegen Sie im Rahmen eines laufenden Factoringvertrages an die PayPal (Europe) S.??r.l. et Cie, S.C.A. abgetreten. Zahlungen mit schuldbefreiender Wirkung k??nnen nur an die PayPal (Europe) S.??r.l. et Cie, S.C.A. geleistet werden.","!shopname hat die Forderung gegen Sie im Rahmen eines laufenden Factoringvertrages an die PayPal (Europe) S.??r.l. et Cie, S.C.A. abgetreten. Zahlungen mit schuldbefreiender Wirkung k??nnen nur an die PayPal (Europe) S.??r.l. et Cie, S.C.A. geleistet werden."
"* Required Fields","* Champs requis"
"Before payment selection","Avant la sélection du mode de paiement"
"Billing Address","Adresse de facturation"
"Billing Information","Information de facturation"
"Billing address","Billing address"
"Brand Name","Nom de marque"
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","En configurant la capture, les réservations peuvent être capturés directement après la commande ou plus tard manuellement depuis le backend du magasin."
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store. The difference between 'order' and 'authorization' is that on 'order' only a check is done, but not really a reservation on the card.","En réglant la capture, les réservations peuvent être capturés directement après la commande ou plus tard manuellement depuis le backend du magasin. La différence entre «order» et «autorisation» est que sur «order» seulement une vérification sera faite, mais pas vraiment une réservation sur la carte."
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store. The difference between 'order' and 'authorization' is that on 'order' only checks the payment information and does not create a reservation.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store. The difference between 'order' and 'authorization' is that on 'order' only checks the payment information and does not create a reservation."
"CVC Code","Code de sécurité (CVC)"
"Can not redirect customer, approval URL missing in registration response.","Can not redirect customer, approval URL missing in registration response."
"Can not update transaction, authorizeId not set","Can not update transaction, authorizeId not set"
"Can not update transaction, saleId not set","Can not update transaction, saleId not set"
"Cancel","Annuler"
"Cancel ID","Cancel ID"
"Cancel failed with unkown error.","Cancel failed with unkown error."
"Cancel pending orders when out of stock","Annuler les commandes en attentes si l'article n'est pas en stock"
"Cancel status","Statut d'annulation"
"Canceled PayPalPlusCw","PayPalPlusCw Annulé"
"Canceling of this payment not possible!","L'annulation de ce paiement n'est pas possible!"
"Cancelled Status","Statut Annulé"
"Cannot update item quantity.","Vous ne pouvez pas mettre à jour la quantité de l'article."
"Capture Amount","Montant de comptabilisation"
"Capture ID","ID de comptabilisation"
"Capture amount","Montant comptabilisé"
"Capture failed with unkown error.","Capture failed with unkown error."
"Capture information","Information de comptabilisation"
"Capture status","Statut de combtabilisation"
"Capture: Don't Close","Comptabilisation: Ne pas fermer"
"Captured Amount","Montant comptabilisé"
"Captured Status","Statut de capture"
"Captures","Comptabilisations"
"Captures & Refunds","Captures et Remboursements"
"Capturing","Comptabiliser"
"Card Expiration","Date d'expiration de la carte"
"Card Holder Name","Titulaire de la carte"
"Card Number","Numéro de la carte"
"Carrier Title","Titre du transporteur"
"Check out faster","Commander plus vite"
"Check to activate the external checkout.","Marquer cette option pour activer la vérification externe."
"Checkout","Checkout"
"Checkout API","Checkout API"
"Checkout as Guest","Checkout en tant qu'invité"
"Checkout as a Guest or Register","Passer à la caisse en tant que client ou créer un compte"
"Checkout as a new customer","Commander en tant que nouveau client"
"Checkout using your account","Commander en utilisant votre compte"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Séléctionnez 'Génération après la commande' si vous voulez qu'une facture soit créée pour la commande. Le statut de la facture sera celui du statut de la comptabilisation."
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Séléctionnez 'Génération après la commande' si vous voulez qu'une facture soit créée pour la commande. Le statut de la facture sera celui du statut de la comptabilisation. Pour les paiements saisis, une facture est toujours créée."
"City entered","City entered"
"Company Commercial Number","Société Nombre de commerce"
"Confirm Password","Confirmer le mot de passe"
"Connection error.","Connection error."
"Continue","Continuer"
"Could not convert object of type '!type' to string.","Impossible de convertir objet de type '!type' à string."
"Could not create URI to cancel the transaction","Could not create URI to cancel the transaction"
"Could not create URI to capture the transaction","Could not create URI to capture the transaction"
"Could not create URI to refund the transaction","Could not create URI to refund the transaction"
"Could not delete experience profile.","Could not delete experience profile."
"Could not find a brand for the given card number.","Impossible de trouver une marque pour le numéro de carte donnée."
"Could not find pressed button.","Impossible de trouver le bouton pressé."
"Could not find template file at default location '!location'.","Impossible de trouver le fichier template dans le répertoire par défaut '!location'."
"Could not find the payment method !paymentMethodName.","Impossible de trouver le mode de paiement !paymentMethodName."
"Could not load layout from URL !url. Reason: !reason","Impossible de charger le template à partir de l'URL !url. Raison: !reason"
"Could not register experience profile.","Could not register experience profile."
"Could not update experience profile.","Could not update experience profile."
"Could not update payment information","Could not update payment information"
"Country entered","Country entered"
"Create","Create"
"Create Account","Créer un compte"
"Create New Order - Payment","Créer nouvelle commande - Paiement"
"Create a recurring payment, with an existing alias is not supported","Création d'un paiement récurrent avec un alias existant n'est pas possible."
"Creating an account has many benefits:","La création d'un compte a de nombreux avantages:"
"Creation Date","Date de création"
"Credit Card Brands","Types de cartes de crédit"
"Credit Memo History","Histoire de note de crédit"
"Credit Memo Totals","Totaux note de crédit"
"Credit memo's total must be positive.","Total de note de crédit doit être positive."
"Currency","Monnaie"
"Current Configuration Scope:","Champ d'application actuel de la configuration:"
"Customer Account","Compte client"
"Customer Alias Management","Gestion des Alias du client"
"Customer successfully returned from PayPalPlusCw","Le client est retourné de PayPalPlusCw avec succès"
"Customer successfully returned from PayPal Plus","Client retourné avec succès de la page de paiement de PayPalPlusCw."
"Customer sucessfully returned from the PayPalPlusCw payment page.","Client retourné avec succès de la page de paiement de PayPalPlusCw."
"Customers","Clients"
"Customweb","Customweb"
"Data Encoding","Codage de données"
"Date","Date"
"Date of Birth","Date de naissance"
"Day","Jour"
"Deactivate","Désactiver"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Cher client, nous avons reçu votre information de facturation et de livraison. Pour terminer votre commande veuillez créer un compte ci-dessous ou continuez en tant qu'invité."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Cher client, il nous semble que votre paiement a été un succès, mais nous sommes toujours en attente de la confirmation. Vous pouvez attendre sur cette page et vous serez redirigé après que nous ayons reçu la confirmation. Vous pouvez aussi fermer cette fenêtre et nous vous enverrons un e-mail de confirmation de la commande."
"Default Config","Configuration par défaut"
"Deferred (authorization)","Différé (autorisation)"
"Deferred capturing","Comptabilisation retardée"
"Deferred settlement","Génération retardée"
"Define a maximal order total for this checkout to be available.","Définir un total de commande maximale pour que ce checkout soit disponible."
"Define a minimal order total for this checkout to be available.","Définir un total de commande minimale pour que ce checkout soit disponible."
"Define here the API password of your live account. You find it at the same location as the username.","Insérez votre mot de passe API du compte de production. Vous allez le trouver au même endroit que le nom d'utilisateur API."
"Define here the API signature of your live account. You find it at the same location as the username.","Insérez votre signature API du compte live. Vous allez le trouver au même endroit que le nom d'utilisateur API."
"Define here the API username of your live account. You can find it in your PayPal account under My Account > Profile > My Selling Tools > API access. There you can update the credentials and you can find also the API username, the API password and the API signature.","Insérez votre nom d'utilisateur API du compte live. Vous allez le trouver dans votre compte PayPal sous My Account > Profile > My Selling Tools > API access. Là vous allez également trouver le mot de passe API et la signature."
"Define here your API password of the sandbox account. You can find it where you find also the e-mail address of your sandbox.","Insérez votre mot de passe API. Vous allez le trouver au même endroit que votre adresse e-mail de votre Sandbox."
"Define here your API signature of the sandbox account. You can find it where you find also the e-mail address of your sandbox.","Insérez votre signature API. Vous allez la trouver au même endroit que votre adresse e-mail de votre Sandbox."
"Define here your API username of the sandbox account. You can find it where you find also the e-mail address of your sandbox.","Insérez votre nom d'utilisateur API. Vous allez le trouver au même endroit que votre adresse e-mail de votre Sandbox."
"Define here your Rest API client ID of your live account. You can find it where you find also the e-mail address of your sandbox.","Define here your Rest API client ID of your live account. You can find it where you find also the e-mail address of your sandbox."
"Define here your Rest API client ID of your sandbox account. Login under 'https://developer.paypal.com/' with your live account and create a new app for an your sandbox merchant account.","Define here your Rest API client ID of your sandbox account. Login under 'https://developer.paypal.com/' with your live account and create a new app for an your sandbox merchant account."
"Define here your Rest API client secret of your live account. You can find it where you find also the e-mail address of your sandbox.","Define here your Rest API client secret of your live account. You can find it where you find also the e-mail address of your sandbox."
"Define here your Rest API client secret of your sandbox account. Login under 'https://developer.paypal.com/' with your live account and create a new app for an your sandbox merchant account.","Define here your Rest API client secret of your sandbox account. Login under 'https://developer.paypal.com/' with your live account and create a new app for an your sandbox merchant account."
"Define here your sandbox business e-mail address. You can find the sandbox e-mail under Applications > Sandbox Accounts.","Insérez votre adresse e-mail Sandbox business. Vous allez la trouver sous Applications > Comptes Sandbox."
"Delayed","Differé"
"Delete","Effacer"
"Delivery address","Delivery address"
"Deregister","Deregister"
"Description","Description"
"Description of the order","Description de la commande"
"Diners Club","Diners Club"
"Direct Debits","Direct Debits"
"Direct E-Banking","Sofort Banking"
"Direct capture after order","Directement après la commande"
"Directly after order (sale)","Directement après la commande"
"Disabled","Désactivé"
"Discount","Rabais"
"Discount Amount","Montant du rabais"
"Do not mark transaction as uncertain.","Ne pas marquer les transactions incertaines."
"Do only check the payment information (order)","Seulement contrôler les informations de paiement de la commande"
"Don't change order status","Ne pas modifier le statut de la commande"
"During authorization","Pendant l'autorisation"
"Edit","Modifier"
"Edit Invoice %s","Éditer la facture %s"
"Eligible","Eligible"
"Email Address","E-mail"
"Empty version number field name","Nom de champ de numéro de version vide"
"Enable or disable logging.","Activer ou désactiver le logging."
"Enable the payment method","Activer le mode de paiement"
"Enabled","Activé"
"Enter the Sandbox and Live Email Adress.","Insérez l'adresse Email du compte Sandbox et du compte productif."
"Enter the date on which your card expires.","Veuillez sélectionner la date d’expiration"
"Error Message:","Error Message:"
"Error retrieving acces token","Error retrieving acces token"
"Error retrieving the checkout details.","Une erreur s'est produite lors de la récupération des détails du paiement."
"Error updating the payment details for unkown reason.","Error updating the payment details for unkown reason."
"Error updating the payment details, registration id is missing.","Error updating the payment details, registration id is missing."
"Error updating the payment details.","Error updating the payment details."
"Error updating transaction: !error","Error updating transaction: !error"
"Error with the length of the validation date.","Erreur avec la longueur de la date de validation."
"Excl. Tax","Excl. impôt"
"Experience Profile","Experience Profile"
"Express Checkout","Express Checkout"
"External Checkout","Vérification externe"
"External Checkout: Guest Checkout","Validation externe : Guest Checkout"
"Failed","Raté"
"Failed payment authorization.","L'autorisation a été refusée."
"Figure !number:","Image !number:"
"Forgot Your Password?","Vous avez oublié votre mot de passe?"
"Forgot your password?","Mot de passe oublié?"
"Get Update","Mettre à jour"
"HTTP error during the execution of the transaction.","HTTP error during the execution of the transaction."
"HTTP error during the registration of the payment wall.","HTTP error during the registration of the payment wall."
"HTTP error during the registration of the transaction.","HTTP error during the registration of the transaction."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Ici vous pouvez insérer un préfixe de la commande. Le préfixe vous permet de changer le numéro de commande qui est transmis à PayPal Plus. Le préfixe doit contenir le tag {id}. Il sera ensuite remplacé par le numéro de commande (par exemple name-{id}). Assurez-vous de ne pas utiliser '_'."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to PayPal. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Ici vous pouvez insérer un préfixe de la commande. Le préfixe vous permet de changer le numéro de commande qui est transmis à PayPal Plus. Le préfixe doit contenir le tag {id}. Il sera ensuite remplacé par le numéro de commande (par exemple name-{id}). Assurez-vous de ne pas utiliser '_'."
"Here you can specifiy the order description. The order description is shown on the PayPal Plus payment page. The order description can contain the tag {id}. It will then be replaced by the order number (e.g. name {id}).","Here you can specifiy the order description. The order description is shown on the PayPal Plus payment page. The order description can contain the tag {id}. It will then be replaced by the order number (e.g. name {id})."
"Hide","Masquer"
"IBAN","IBAN"
"IBAN number","Número du compte bancaire"
"ISO-8859-1","ISO-8859-1"
"ISO-8859-13","ISO-8859-13"
"ISO-8859-15","ISO-8859-15"
"ISO-8859-2","ISO-8859-2"
"ISO-8859-3","ISO-8859-3"
"ISO-8859-4","ISO-8859-4"
"ISO-8859-5","ISO-8859-5"
"ISO-8859-6","ISO-8859-6"
"ISO-8859-7","ISO-8859-7"
"ISO-8859-8","ISO-8859-8"
"ISO-8859-9","ISO-8859-9"
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","S'il y a qu'une seule pièce de l'article en stock et le paiement du client échoue ou est annulé, cette article ne sera pas disponible jusqu'à que la commande soit annulée (option 'timeout' en bas). Activez cette option si vous voulez que l'article ne soit pas réservé. La commande sera donc annulée immédiatement."
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","Si un produit est en stock qu'une seule fois et le paiement de la commande du client ce produit échoue ou est abandonnée, il ne sera pas disponible jusqu'à ce que la commande est annulée (voir option de temporisation ci-dessous). Activez ce paramètre pour annuler les commandes en attente du client quand il revient à la page de panier et un produit ne sont plus disponible. Attention: Si vous activez cette option, il ya une chance que les paiements sont faits avec la commande correspondante étant déjà annulé."
"If it is not applicable leave the field empty.","Si ce n'est pas applicable veuillez laisser le champ vide."
"If the sandbox mode is used, then the sandbox credentials are used. Login under 'https://developer.paypal.com/' with your live account and create a sandbox merchant account to use in sandbox mode.","If the sandbox mode is used, then the sandbox credentials are used. Login under 'https://developer.paypal.com/' with your live account and create a sandbox merchant account to use in sandbox mode."
"If the sandbox mode is used, then the sandbox credentials are used. You can sign up for a sandbox account under 'https://developer.paypal.com/'.","Si le mode Sandbox est activé, les données de Sandbox seront utilisées. Vous pouvez vous inscrire pour un compte Sandbox sur 'https://developer.paypal.com/'."
"If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Si l'état est 'En attente', il est difficile de savoir si la transaction sera annulée avec succès."
"If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Si l'état est 'En attente', il est difficile de savoir si la transaction sera capturé avec succès."
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Si l'état est 'En attente', il est difficile de savoir si l'opération sera remboursé avec succès."
"If the test mode is selected the test account is used. Otherwise the configured account is used.","Si le mode de test est sélectionné, le compte test sera utilisé. Sinon, le compte configuré sera utilisé."
"If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Si vous avez des problèmes avec le module, n'hésitez pas à nous contacter. Consultez notre <a href='https://www.sellxed.com/en/support' target='_blank'>page d'assistance</a> pour plus d'informations."
"If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","En cliquant sur la case, la commande sera capturée chez le prestataire de services de paiement. Il ne sera pas possible de faire d’autres captures."
"If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Si vous souhaitez utiliser les paiements récurrents, vous avez besoin de notre module de Magento 'Customweb Subscription'. Pour plus d'informations, veuillez aller sur <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Image Brand Selection","Image Brand Selection"
"In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","Dans certains cas, il peut prendre quelques secondes jusqu'à ce que la transaction soit autorisée avec succès. Lorsque cette option est activée, la boutique attendra la notification quelques secondes."
"In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","Dans certains cas, l'opération nécessite quelques secondes jusqu'à ce qu'elle est autorisée avec succès. Lorsque cette option est activée l'utilisateur est en attente jusqu'à ce que celle-ci atteigne l'état final. Si ce n'est pas le cas en 30 secondes, un message s'affiche pour le client, qui explique la situation."
"Inactive","Inactif"
"Incl. Tax","Incl. TVA"
"Incomplete Address Check Response","Incomplete Address Check Response"
"Ineligible","Ineligible"
"Information","Information"
"Invalid login or password.","Nom d'utilisateur inexistant ou mauvais mot de passe."
"Invalid response received.","Invalid response received."
"Invoice Items","Eléments de la facture"
"Invoice Settlement","Le règlement des factures"
"Invoice Totals","Totaux facture"
"Invoice settlement","Génération de la facture"
"Invoice was created successfully","La facture a été créée avec succès"
"Invoices","Factures"
"Issue Number","Numéro"
"It is not possible to checkout in your country.","Paiements de ce pays ne seront pas acceptés."
"Item","Article"
"Item not received eligible.","Item not received eligible."
"Items","Articles"
"Items Refunded","Articles Remboursé"
"JCB","JCB"
"Live API Password","Live API Mot de passe"
"Live API Signature","Live API Signature"
"Live API Username","Live API Nom d'utilisateur"
"Live Business E-mail Address","Live adresse e-mail business"
"Live HMAC Key","Live HMAC Key"
"Live Identifier (PBX_IDENTIFIANT)","Live identifiant (PBX_IDENTIFIANT)"
"Live Mode","Live Mode"
"Live Password","Mot de passe live"
"Live REST API Client ID","Live REST API Client ID"
"Live REST API Client Secret","Live REST API Client Secret"
"Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Logging","Logging"
"Login","Login"
"Login & Register","Login & Inscription"
"Login and password are required.","Login et mot de passe sont requis."
"Logo Url","Logo Url"
"Mail order/telephone order authorization","Authentification par e-mail / téléphone"
"Manage Stores","Gérer Magasins"
"Manage PayPal Plus Aliases","Gérer les Alias PayPal Plus"
"Mark transaction without seller protection as uncertain.","Marquer les transactions sans protéction de vendeur incertaines."
"MasterCard","MasterCard"
"Maximum Order Total","Montant de commande maximal"
"Message","Message"
"Method Title","Titre de la méthode"
"Minimum Order Total","Montant de commande minimal"
"Modifications to the shipping address are not allowed.","Modifications to the shipping address are not allowed."
"Month","Mois"
"My PayPal Plus Aliases","Mes Alias PayPal Plus"
"Name entered","Name entered"
"Name of the web experience profile. Unique only among the profiles for this merchant.","Name of the web experience profile. Unique only among the profiles for this merchant."
"New Order","Nouvelle commande"
"New Order Status","Nouvel statut de commande"
"New card","Nouvelle carte"
"Next Update Execution Date","Prochaine mise à jour"
"No","Non"
"No Items","Pas d'objet"
"No PayerId or paymentId returned","No PayerId or paymentId returned"
"No Profile registered","No Profile registered"
"No additional payment information available.","Aucune information de paiement supplémentaire est disponible."
"No authorization method found for payment method !method.","Aucun mode d'autorisation trouvé pour le mode de paiement !method."
"No button returned.","Pas de bouton retourné."
"No refund possible.","Remboursement n'est pas possible"
"No shipping method needed.","Aucun mode de livraison nécessaire."
"No, use the dropdown.","Utiliser le menu déroulant"
"Not supported intent. Please contact the merchant for more information about your payment","Not supported intent. Please contact the merchant for more information about your payment"
"Only an authorized transaction can be marked as finally declined.","Seulement une transaction autorisée peut être marquée comme finalement déclinée."
"Only an uncertain transaction can be marked as finally declined.","Seulement une transaction incertaine peut être marquée comme déclinée."
"Only authorized transaction can be cancelled.","Seulement les transactions autorisées peuvent être annulées."
"Only authorized transaction can be captured.","Seulement les transactions autorisées peuvent être comptabilisées."
"Only authorized transaction can be refunded.","Seulement les transactions autorisées peuvent être remboursées"
"Only captured transaction can be refunded.","Seulement les transaction comptabilisées peuvent être remboursées."
"Only on captured transaction the flag customer refusing to pay can be set.","Il est seulement possible de définir un indicateur pour les clients qui n'ont pas payé sur les transactions capturées."
"Operation Mode","Mode de fonctionnement"
"Order #","Numéro de commande"
"Order Description","Order Description"
"Order Grand Total","Total de l'ordre"
"Order Information","Informations sur la commande"
"Order Prefix","Préfixe pour la commande"
"Order Review","Revue de la commande"
"Order Summary","Résumé de la commande"
"Order Total","Total de la commande"
"Order cancelled, because the customer was too long in the payment process of PayPal Plus.","la commande a été annulée, parce que le client était trop long dans le processus de paiement de PayPal Plus"
"Order prefix","Order prefix"
"Order was placed using %s","Commande a été passée à l'aide de %s"
"Orders","Commandes"
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Les commandes où les paiements sont suspendu plus longtemps que le timeout spécifié en minutes seront anullées automatiquement."
"Paid Amount","Montant payé"
"Partial","Partial"
"Partial refund not possible. You may retry with the total transaction amount.","Remboursement partiel n'est pas possible. Le montant est supérieur au montant total."
"Password","Mot de passe"
"Password and password confirmation are not equal.","Mot de passe et confirmation du mot de passe ne sont pas pareils."
"Pay with ____paymentMethodName____","Payer avec ____paymentMethodName____"
"PayPal Refund.","Remboursement PayPal"
"PayPal allows to set the encoding under Profile > My Selling Tools > PayPal button language encoding > More Options. You should set always the both encoding to the same encoding and select here the corresponding encoding. The default encoding for PayPal is 'Windows-1252'.","PayPal permet de définir l'encodage sous 'Profile > My Selling Tools > PayPal button language encoding > More Options'. Vous devez toujours définir le même encodage et sélectionner ici le codage correspondant. L'encodage par défaut pour PayPal est 'Windows 1252'."
"PayerId","PayerId"
"Payment","Paiement"
"Payment ID","ID de paiement"
"Payment Id","Payment ID"
"Payment Information","Conditions de vente"
"Payment Method","Mode de paiement"
"Payment Mode","Payment Mode"
"Payment captured successfully.","Paiement a réussi à capturer."
"Payment could not be authorized. Cancelling order. Reason : ","Le paiement ne peut être autorisée. Commande annulée. Raison:"
"Payment details can be entered after placing the order","Détails de paiement peuvent être insérés après avoir placé la commande"
"Payment due date","Payment due date"
"Payment from Applicable Countries","Paiement des pays applicables"
"Payment from Specific Countries","Paiement des pays spécifiques"
"Payment from applicable countries","Paiement des pays applicables"
"Payment from specific countries","Paiement des pays spécifiques"
"Payment is pending at PayPalPlusCw","Payment en attente chez PayPalPlusCw"
"Payment method description","Déscription du mode de paiement"
"Payment wall creation failed with an unkown reason.","Payment wall creation failed with an unkown reason."
"Payment was not successful.","Paiement n'a pas réussi."
"Payment with %s","Paiement avec %s"
"Payment with PayPal Plus","Paiement avec  PayPal Plus"
"Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Les paiements peuvent être actualisés automatiquement (interval en minutes) via API (si activé). Pour utiliser ce fonctionnement il faut configurer un cron pour Magento."
"Pending","En attente"
"Pending PayPalPlusCw","PayPalPlusCw En attente"
"Place Order","Soumettre la commande"
"Please agree to all the terms and conditions before placing the order.","Veuillez accepter les conditions générales avant de passer la commande."
"Please check the entered CVC number.","Veuillez vérifier le numéro CVC entré."
"Please check the entered credit card number.","Veuillez vérifier le numéro de carte de crédit indiqué."
"Please click the create button, to register the webhook.","Please click the create button, to register the webhook."
"Please enter here the Bank Identifier Code (BIC).","Veuillez insérer ici le code d'identification de banque (BIC)."
"Please enter here the CVC code from your card. You find the code on the back of the card.","Insérez le code de sécurité de la carte. Vous le trouverez à l’arrière de la carte"
"Please enter here the International Bank Account Number (IBAN).","Veuillez insérer l'IBAN de votre compte banquaire."
"Please enter here the account holder name on the card.","Veuillez insérer ici le nom du titulaire de la carte."
"Please enter here the account holder name.","Veuillez insérer ici le nom du titulaire du compte."
"Please enter here the account number of your bank account.","Veuillez insérer l'IBAN de votre compte banquaire."
"Please enter here the bank code of your bank.","Veuillez insérer le code de votre banque."
"Please enter here the card holder name on the card.","Veuillez insérer le nom du titulaire de la carte"
"Please enter here the commercial number of your company.","Il faut insérer le numéro de commerce de votre entreprise."
"Please enter here the name of the account owner.","Vous devez insérer le titulaire de compte"
"Please enter here the number on your card.","Veuillez insérer le numéro de carte bancaire."
