"!shopname hat die Forderung gegen Sie im Rahmen eines laufenden Factoringvertrages an die PayPal (Europe) S.??r.l. et Cie, S.C.A. abgetreten. Zahlungen mit schuldbefreiender Wirkung k??nnen nur an die PayPal (Europe) S.??r.l. et Cie, S.C.A. geleistet werden.","!shopname hat die Forderung gegen Sie im Rahmen eines laufenden Factoringvertrages an die PayPal (Europe) S.??r.l. et Cie, S.C.A. abgetreten. Zahlungen mit schuldbefreiender Wirkung k??nnen nur an die PayPal (Europe) S.??r.l. et Cie, S.C.A. geleistet werden."
"* Required Fields","* Erforderliche Felder"
"Bank code number","Bankcodenummer"
"Before payment selection","Vor der Wahl der Zahlungsmethode"
"Billing Address","Rechnungsadresse"
"Billing Information","Rechnungsinformationen"
"Billing address","Billing address"
"Brand Name","Markenname"
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","Mit den Einstellungen zur Verbuchung kann eine Reservierung entweder direkt nach der Bestellung oder nachträglich im Backend des Shops verbucht werden."
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store. The difference between 'order' and 'authorization' is that on 'order' only a check is done, but not really a reservation on the card.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store. The difference between 'order' and 'authorization' is that on 'order' only a check is done, but not really a reservation on the card."
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store. The difference between 'order' and 'authorization' is that on 'order' only checks the payment information and does not create a reservation.","Indem Sie das Erfassen einstellen, kann die Reservation direkt nach der Bestellung oder später manuell im Backend des Shops erfasst werden.Der Unterschied zwischen 'Bestellung' und 'Autorisierung' ist, dass die 'Bestellung' lediglich die Zahlungsinformation prüft aber keine Reservation erstellt."
"CVC Code","CVC Code"
"Can not redirect customer, approval URL missing in registration response.","Nicht möglich Kunde weiterzuleiten, Genehmigungs URL in der Registrationsantwort fehlt."
"Can not update transaction, authorizeId not set","Transaktionsupdate nicht möglich, authorizeId nicht festgelegt."
"Can not update transaction, saleId not set","Transaktionsupdate nicht möglich, saleId nicht festgelegt."
"Cancel","Stornieren"
"Cancel ID","Stornierungs ID"
"Cancel failed with unkown error.","Abbruch fehlgeschlagen mit unbekanntem Fehler."
"Cancel pending orders when out of stock","Ausstehende Bestellungen stornieren, wenn der Artikel nicht mehr an Lager ist."
"Cancel status","Stornierungsstatus"
"Canceled PayPalPlusCw","Abbrechen PayPalPlusCw"
"Canceling of this payment not possible!","Stornieren dieser Zahlung ist nicht möglich!"
"Cancelled Status","Status für abgebrochene Bestellungen"
"Cannot update item quantity.","Die Artikelanzahl kann nicht aktualisiert werden."
"Capture Amount","Buchungsbetrag"
"Capture ID","Buchungs ID"
"Capture amount","Verbuchungsbetrag"
"Capture failed with unkown error.","Erfassung fehlgeschlagen, ein unbekannter Fehler ist aufgetreten."
"Capture information","Buchungs Informationen"
"Capture status","Verbuchungsstatus"
"Capture: Don't Close","Verbuchung: Nicht schliessen"
"Captured Amount","Verbuchter Betrag"
"Captured Status","Verbuchungsstatus"
"Captures","Verbuchungen"
"Captures & Refunds","Verbuchungen & Gutschriften"
"Capturing","Verbuchung"
"Card Expiration","Kartenablaufdatum"
"Card Holder Name","Karteninhaber"
"Card Number","Kartennummer"
"Carrier Title","Carrier Title"
"Check out faster","Schnelleres Bestellen"
"Check to activate the external checkout.","Markieren Sie dieses Feld um den externen Checkout zu aktivieren."
"Checkout","Checkout"
"Checkout API","Checkout API"
"Checkout as Guest","Als Gast zur Kasse gehen"
"Checkout as a Guest or Register","Als Gast zur Kasse gehen oder ein Kundenkonto erstellen"
"Checkout as a new customer","Als Neukunde bestellen"
"Checkout using your account","Über Ihr Benutzerkonto bestellen"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Wählen Sie 'Erstellung nach Bestellung' falls Sie möchten, dass eine Rechung zu Ihrer Bestellung generiert wird. Der status der Rechnung wird anhand Ihres Buchungs Status gesetzt. Für verbuchte Zahlungen wird stets eine Rechnung erstellt."
"City entered","Angegeben Stadt"
"Company Commercial Number","Handelsregisternummer der Firma"
"Confirm Password","Passwort bestätigen"
"Connection error.","Verbindungsfehler"
"Continue","Fortfahren"
"Could not convert object of type '!type' to string.","Konvertierung eines Objektes vom Typ '!type' ist fehlgeschlagen."
"Could not create URI to cancel the transaction","Erstellen der URL, um die Transaktion zu stornieren, war nicht möglich."
"Could not create URI to capture the transaction","URL zur Erfassung der Transaktion konnte nicht hergestellt werden."
"Could not create URI to refund the transaction","URL konnte nicht erstellt werden, um die Transaktion zurückzuerstatten."
"Could not delete experience profile.","Das experience Profil konnte nicht gelöscht werden."
"Could not find a brand for the given card number.","Es konnte keinen Brand für die gegebene Karte gefunden werden."
"Could not find pressed button.","Der Button konnte nicht gefunden werden"
"Could not find template file at default location '!location'.","Konnte kein Template auf dem Standard Pfad unter '!location' finden."
"Could not find the payment method !paymentMethodName.","Zahlungsmethode '!paymentMethodName' konnte nicht gefunden werden."
"Could not load layout from URL !url. Reason: !reason","Das Layout konnte nicht von !url geladen werden. Grund: !reason"
"Could not register experience profile.","Das experience Profil konnte nicht registriert werden."
"Could not update experience profile.","Das experience Profil konnte nicht aktualisiert werden."
"Could not update payment information","Zahlungsinformation konnte nicht aktualisiert werden."
"Country entered","Angebenes Land"
"Create","Erstellen"
"Create Account","Benutzerkonto erstellen"
"Create New Order - Payment","Neue Bestellung erstellen - Zahlung"
"Create a recurring payment, with an existing alias is not supported","Mit einem existierenden Alias ist die Erstellung einer wiederkehrenden Zahlung nicht möglich."
"Creating an account has many benefits:","Die Erstellung eines Benutzerkontos bringt viele Vorteile mit sich:"
"Creation Date","Erstellungsdatum"
"Credit Card Brands","Kreditkartenbrand"
"Credit Memo History","Gutschrifthistorie"
"Credit Memo Totals","Gutschrift Total"
"Credit memo's total must be positive.","Der Gesamtbetrag der Gutschrift muss positiv sein."
"Currency","Währung"
"Current Configuration Scope:","Scope der Konfiguration:"
"Customer Account","Kundenkonto"
"Customer Alias Management","Kunden Alias Management"
"Customer successfully returned from PayPalPlusCw","Kunde ist erfolgreich von PayPalPlusCw zurückgekehrt"
"Customer successfully returned from PayPal Plus","Der Kunde ist erfolgreich von der PayPalPlusCw Payment Page zurückgekehrt."
"Customer sucessfully returned from the PayPalPlusCw payment page.","Der Kunde ist erfolgreich von der PayPalPlusCw Payment Page zurückgekehrt."
"Customers","Kunden"
"Customweb","Customweb"
"Data Encoding","Data Encoding"
"Date","Datum"
"Date of Birth","Geburtsdatum"
"Day","Tag"
"Deactivate","Deaktivieren"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Sehr geehrter Kunde wir haben Ihre Rechnungs- und Lieferinformationen erhalten. Um Ihre Bestellung abschliessen zu können, bitten wir Sie ein Account zu erstellen oder sich als Gast anzumelden."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Sehr geehrter Kunde, es scheint, dass Ihre Zahlung erfolgreich war, aber wir warten immer noch auf eine Bestätigung. Sie können auf dieser Seite warten, und wir leiten Sie weiter nachdem wir die Bestätigung erhalten haben. Oder Sie können dieses Fenster schliessen und wir senden Ihnen eine Auftragsbestätigung später per Email."
"Default Config","Standard Konfiguration"
"Deferred (authorization)","Verzögert (Autorisierung)"
"Deferred capturing","Verzögerte Buchung"
"Deferred settlement","Verzögerte Erstellung"
"Define a maximal order total for this checkout to be available.","Definieren Sie einen Maximalbestellwert für den Checkout."
"Define a minimal order total for this checkout to be available.","Definieren Sie einen Mindestbestellwert, der erreicht werden muss um den Checkout verfügbar zu machen."
"Define here the API password of your live account. You find it at the same location as the username.","Define here the API password of your live account. You find it at the same location as the username."
"Define here the API signature of your live account. You find it at the same location as the username.","Define here the API signature of your live account. You find it at the same location as the username."
"Define here the API username of your live account. You can find it in your PayPal account under My Account > Profile > My Selling Tools > API access. There you can update the credentials and you can find also the API username, the API password and the API signature.","Define here the API username of your live account. You can find it in your PayPal account under My Account > Profile > My Selling Tools > API access. There you can update the credentials and you can find also the API username, the API password and the API signature."
"Define here your API password of the sandbox account. You can find it where you find also the e-mail address of your sandbox.","Define here your API password of the sandbox account. You can find it where you find also the e-mail address of your sandbox."
"Define here your API signature of the sandbox account. You can find it where you find also the e-mail address of your sandbox.","Define here your API signature of the sandbox account. You can find it where you find also the e-mail address of your sandbox."
"Define here your API username of the sandbox account. You can find it where you find also the e-mail address of your sandbox.","Define here your API username of the sandbox account. You can find it where you find also the e-mail address of your sandbox."
"Define here your Rest API client ID of your live account. You can find it where you find also the e-mail address of your sandbox.","Bestimmen Sie Ihr Rest API client ID von Ihrem live Konto hier. Sie finden dies am selben Ort wo sie Ihre E-mail Adresse der Sandbox finden."
"Define here your Rest API client ID of your sandbox account. Login under 'https://developer.paypal.com/' with your live account and create a new app for an your sandbox merchant account.","Bestimmen Sie Ihr Rest API client ID von Ihrem Sandbox Konto hier. Loggen Sie sich unter 'https://developer.paypal.com/' mit Ihrem live Konto ein und erstellen Sie ein neues App für Ihr Sandbox Händler Konto."
"Define here your Rest API client secret of your live account. You can find it where you find also the e-mail address of your sandbox.","Definieren Sie Ihr Rest API client secret von Ihrem live Konto. Sie finden dies am selben Ort wo sie Ihre E-mail Adresse der Sandbox finden."
"Define here your Rest API client secret of your sandbox account. Login under 'https://developer.paypal.com/' with your live account and create a new app for an your sandbox merchant account.","Bestimmen Sie Ihr Rest API client secret von Ihrem Sandbox Konto hier. Loggen Sie sich unter 'https://developer.paypal.com/' mit Ihrem live Konto ein und erstellen Sie ein neues App für Ihr Sandbox Händler Konto."
"Define here your sandbox business e-mail address. You can find the sandbox e-mail under Applications > Sandbox Accounts.","Define here your sandbox business e-mail address. You can find the sandbox e-mail under Applications > Sandbox Accounts."
"Delayed","Verzögert"
"Delete","Löschen"
"Delivery address","Delivery address"
"Deregister","Abmelden"
"Description","Beschreibung"
"Description of the order","Description of the order"
"Diners Club","Diners Club"
"Direct Debits","Lastschrift"
"Direct E-Banking","Sofortüberweisung"
"Direct capture after order","Direkte Buchung nach der Bestellung"
"Directly after order (sale)","Direkte Buchung nach der Bestellung"
"Disabled","Deaktiviert"
"Discount","Rabatt"
"Discount Amount","Rabattbetrag"
"Do not mark transaction as uncertain.","Do not mark transaction as uncertain."
"Do only check the payment information (order)","Nur die Zahlungsinformationen überprüfen (Bestellung)"
"Don't change order status","Bestellstatus nicht verändern."
"During authorization","Während der Autorisation"
"Edit","Bearbeiten"
"Edit Invoice %s","Rechnung bearbeiten %s"
"Eligible","Berechtigt"
"Email Address","E-Mail Adresse"
"Empty version number field name","Leerer Versionsnummer-Feldname"
"Enable or disable logging.","Erfassung aktivieren oder deaktivieren."
"Enable the payment method","Diese Zahlungsmethode aktivieren"
"Enabled","Aktiviert"
"Enter the Sandbox and Live Email Adress.","Enter the Sandbox and Live Email Adress."
"Enter the date on which your card expires.","Geben Sie das Ablaufdatum der Karte ein."
"Error Message:","Fehlermeldung:"
"Error retrieving acces token","Fehler beim Abrufen des Access Token"
"Error retrieving the checkout details.","Error retrieving the checkout details."
"Error updating the payment details for unkown reason.","Beim Aktualisieren der Zahlungsdetails ist ein unbekannter Fehler aufgetreten."
"Error updating the payment details, registration id is missing.","Das Update der Zahlungsiinformationen konnte nicht durchgeführt werden, da die registrationID fehlt."
"Error updating the payment details.","Fehler beim Update der Zahlungsdetails."
"Error updating transaction: !error","Fehlermeldung beim Transaktionsupdate: !error"
"Error with the length of the validation date.","Bitte kontrollieren Sie das Gültigkeitsdatum."
"Excl. Tax","Exkl. Steuern"
"Experience Profile","Experience Profile"
"Express Checkout","Express Checkout"
"External Checkout","Externer Checkout"
"External Checkout: Guest Checkout","External Checkout: Gast Checkout"
"Failed","Fehlgeschlagen"
"Failed payment authorization.","Die Autorisierung ist fehlgeschlagen."
"Figure !number:","Abbildung !number:"
"Forgot Your Password?","Haben Sie Ihr Passwort vergessen?"
"Forgot your password?","Passwort vergessen?"
"Get Update","Aktualisieren"
"HTTP error during the execution of the transaction.","HTTP Fehler während der Durchführung der Transaktion."
"HTTP error during the registration of the payment wall.","HTTP Fehler während der Registration der Payment Wall."
"HTTP error during the registration of the transaction.","HTTP Fehler während der Registrierung der Transaktion."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Hier können Sie einen Bestellpräfix eingeben. Der Präfix erlaubt es Ihnen, die Bestellnummer, die an PayPal Plus übermittelt wird, zu verändern. Der Präfix muss den Tag {id} enthalten. Dieser wird anschliessend durch die Bestellnummer ersetzt (z.B. name_{id})."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to PayPal. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to PayPal. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Here you can specifiy the order description. The order description is shown on the PayPal Plus payment page. The order description can contain the tag {id}. It will then be replaced by the order number (e.g. name {id}).","Hier können Sie die Auftragsbeschreibung spezifizieren.  Die Auftragsbeschreibung ist auf der Payment Page von PayPal Plus zu finden. Die Auftragsbeschreibung kann den tag {id} beinhalten. Diese wird dann von der Bestellnummer erstetzt (z.B Name {id})."
"Hide","Verbergen"
"IBAN","IBAN"
"IBAN number","Bankkonto"
"ISO-8859-1","ISO-8859-1"
"ISO-8859-13","ISO-8859-13"
"ISO-8859-15","ISO-8859-15"
"ISO-8859-2","ISO-8859-2"
"ISO-8859-3","ISO-8859-3"
"ISO-8859-4","ISO-8859-4"
"ISO-8859-5","ISO-8859-5"
"ISO-8859-6","ISO-8859-6"
"ISO-8859-7","ISO-8859-7"
"ISO-8859-8","ISO-8859-8"
"ISO-8859-9","ISO-8859-9"
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Sofern nur noch ein Produkt an Lager ist und die Bezahlung des Kunden (der genau dieses Produkt kauft) fehlschlägt, wird das Produkt solange reserviert bis die Bestellung annuliert wird (vgl. Timeout Option). Aktivieren Sie diese Option, falls Sie NICHT möchten, dass das Produkt reserviert wird. Die Bestellung wird dann bei fehlgeschlagener oder abgebrochener Zahlung sofort annuliert."
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","Der Artikel wird während der Zeit, wenn ein Kunde im Checkout ist reserverit. Aktivieren Sie diese Option, damit der Bestand bei fehlgeschlagenen Zahlungen direkt wieder freigegeben wird. Ansonsten erfolgt die Freigabe erst, wenn der Cron Job die ausstehenden Bestellungen cancelled."
"If it is not applicable leave the field empty.","Falls nicht zutreffend, lassen Sie dieses Feld leer."
"If the sandbox mode is used, then the sandbox credentials are used. Login under 'https://developer.paypal.com/' with your live account and create a sandbox merchant account to use in sandbox mode.","Bei Verwendung des Sandboxmodus werden die Sandbox Credentials gebraucht. Sie können sich unter  'https://developer.paypal.com/' mit Ihrem live Konto einloggen und ein Sandbox Händler Konto erstellen um in dem Sandboxmodus zu verwenden."
"If the sandbox mode is used, then the sandbox credentials are used. You can sign up for a sandbox account under 'https://developer.paypal.com/'.","If the sandbox mode is used, then the sandbox credentials are used. You can sign up for a sandbox account under 'https://developer.paypal.com/'."
"If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Wenn der Status 'Ausstehend' ist, dann ist unklar ob die Transaktion erfolgreich storniert wurde."
"If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Wenn der Status 'Ausstehend' ist, dann ist unklar ob die Verbuchung erfolgreich war."
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Wenn der Status 'Ausstehend' ist, dann ist es unklar, ob die Gutschrift erfolgreich war."
"If the test mode is selected the test account is used. Otherwise the configured account is used.","Dieser Account wird benutzt, wenn der Testmodus ausgewählt ist. Andernfalls wird der konfigurierte Account benutzt."
"If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Zögern Sie nicht, uns zu kontaktieren falls Sie ein Problem mit dem Modul haben. Auf unserer <a href='https://www.sellxed.com/de/support' target='_blank'>Support Seite</a> finden Sie weitere Informationen."
"If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","Wenn Sie die Checkbox anklicken wird die Bestellung beim PSP verbucht. Es können keine weiteren Captures erstellt werden."
"If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Falls Sie Recurring Payments anbieten möchten, brauchen Sie das Magnet Modul ""Customweb Subscription"". Weitere Informationen finden Sie unter <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Image Brand Selection","Auswahl des Kartenlogos"
"In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","Es kann in einigen Fällen ein paar Sekunden dauern bis die Transaktion erfolgreich genehmigt wird. Wenn diese Option aktiviert ist, wird die Benachrichtigung erwartet."
"In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","Es dauert teilweise etwas bis wir vom PSP die Nachricht der Zahlung erhalten. Das aktivieren dieser Option führt dazu, dass der Kunde im Checkout verzögert wird, bis die Notifikation vom PSP eintrifft."
"Inactive","Inaktiv"
"Incl. Tax","Inkl. Tax"
"Incomplete Address Check Response","Die Adressprüfungsantwort war nicht komplett"
"Ineligible","Nicht berechtigt"
"Information","Information"
"Invalid login or password.","Ungültiges Login oder Passwort."
"Invalid response received.","Ungültige Antwort erhalten."
"Invoice Items","Rechungsartikel"
"Invoice Settlement","Verbuchung der Rechnung"
"Invoice Totals","Rechnungstotal"
"Invoice settlement","Rechungserstellung"
"Invoice was created successfully","Die Rechnung wurde erfolgreich erstellt"
"Invoices","Rechungen"
"Issue Number","Ausgabekartennummer"
"It is not possible to checkout in your country.","Es ist in Ihrem Land nicht möglich zu bezahlen."
"Item","Artikel"
"Item not received eligible.","Arikel nicht geeignet."
"Items","Artikel"
"Items Refunded","Artikel zurückerstattet"
"JCB","JCB"
"Live API Password","Live API Password"
"Live API Signature","Live API Signature"
"Live API Username","Live API Username"
"Live Business E-mail Address","Live Business E-mail Address"
"Live HMAC Key","Live HMAC Key"
"Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Live Mode","Live Modus"
"Live Password","Live Passwort"
"Live REST API Client ID","Live REST API Client ID"
"Live REST API Client Secret","Live REST API Client Secret"
"Live Rang (PBX_RANG)","Live Rang"
"Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Logging","Logging"
"Login","Login"
"Login & Register","Login & Registrieren"
"Login and password are required.","Login und Passwort sind erforderlich."
"Logo Url","Logo Url"
"Mail order/telephone order authorization","Autorisierung von eMail-/Telefonbestellungen"
"Manage Stores","Shops verwalten"
"Manage PayPal Plus Aliases","PayPal Plus Aliasse verwalten"
"Mark transaction without seller protection as uncertain.","Mark transaction without seller protection as uncertain."
"MasterCard","MasterCard"
"Maximum Order Total","Maximales Bestelltotal"
"Message","Nachricht"
"Method Title","Titel der Zahlungsmethode"
"Minimum Order Total","Minimales Bestelltotal"
"Modifications to the shipping address are not allowed.","Sie dürfen die Versandadresse nicht modifizieren."
"Month","Monat"
"My PayPal Plus Aliases","Meine PayPal Plus Aliasse"
"Name entered","Angegebener Name"
"Name of the web experience profile. Unique only among the profiles for this merchant.","Name des web experience Profile. Der Name muss für das Profil unique sein."
"New Order","Neue Bestellung"
"New Order Status","Neuer Bestellstatus"
"New card","Neue Karte"
"Next Update Execution Date","Nächstes Ausführungsdatum für Updates"
"No","Nein"
"No Items","Keine Artikel"
"No PayerId or paymentId returned","Keine PayerId oder paymentId zurück erhalten."
"No Profile registered","Kein Profil registriert"
"No additional payment information available.","Keine zusätzliche Zahlungsinformationen verfügbar"
"No authorization method found for payment method !method.","Es konnte keine Autorisierungsmethode für die Zahlmethode '!method' gefunden werden."
"No button returned.","Kein Knopf erhalten."
"No refund possible.","Keine Rückvergütung möglich"
"No shipping method needed.","Keine Versandmethode benötigt."
"No, use the dropdown.","Dropdown-Menü benutzen"
"Not supported intent. Please contact the merchant for more information about your payment","Vorhaben wird nicht unterstützt. Bitte kontaktieren Sie Ihren Händler für weitere Informationen bezüglich Ihrer Bezahlung."
"Only an authorized transaction can be marked as finally declined.","Nur autorisierte Transaktionen können als endgültig abgelehnt markiert werden."
"Only an uncertain transaction can be marked as finally declined.","Nur unsichere Transaktionen können als endgültig abgelehnt markiert werden."
"Only authorized transaction can be cancelled.","Nur autorisierte Transaktionen können storniert werden."
"Only authorized transaction can be captured.","Nur autorisierte Transaktionen können verbucht werden."
"Only authorized transaction can be refunded.","Nur autorsierte Transaktionen können gutgeschrieben werden."
"Only captured transaction can be refunded.","Nur gebuchte Transaktionen können gutgeschrieben werden."
"Only on captured transaction the flag customer refusing to pay can be set.","Nur bei bereits verbuchten Transaktionen kann ein Flag zur Markierung von Kunden, die nicht bezahlt haben, gesetzt werden."
"Operation Mode","Betriebsmodus"
"Order #","Bestellnummer"
"Order Description","Beschreibung"
"Order Grand Total","Gesamtsumme der Bestellung"
"Order Information","Bestellungsinformation"
"Order Prefix","Bestell-Präfix"
"Order Review","Bestellungsüberprüfung"
"Order Summary","Bestellzusammenfassung"
"Order Total","Bestelltotal"
"Order cancelled, because the customer was too long in the payment process of PayPal Plus.","Bestellung wurde abgebrochen, da der Kunde sich zu lange im Zahlungsprozess von PayPal Plus befand."
"Order prefix","Order prefix"
"Order was placed using %s","Order was placed using %s"
"Orders","Bestellungen"
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Bestellungen, deren Zahlungen länger ausstehend bleiben als das definierte Timeout in Minuten, werden automatisch abgebrochen. Um dieses Feature benutzen zu können, müssen Sie Magento Cron aufsetzen."
"Paid Amount","Bezahlter Betrag"
"Partial","Teilzahlung"
"Partial refund not possible. You may retry with the total transaction amount.","Teilrückzahlung nicht möglich. Die Summe ist grösser als der verbuchte Gesamtbetrag."
"Password","Passwort"
"Password and password confirmation are not equal.","""Passwort"" und ""Passwort bestätigen"" stimmen nicht überein."
"Pay with ____paymentMethodName____","Zahlen mit ____paymentMethodName____"
"PayPal Refund.","PayPal Refund."
